0.58425,0.80142,-0.12797
0.58425,0.80142,-0.12797
-0.98777,0.15478,0.019065
-0.98776,0.15478,0.019066
-0.4183,0.90347,0.093644
-0.4183,0.90347,0.093644
-0.10613,0.99413,0.020925
-0.10613,0.99413,0.020926
-0.59063,-0.73797,-0.32641
-0.59063,-0.73797,-0.32641
-0.024541,0.99969,0.0038873
-0.024541,0.99969,0.0038871
-0.78488,-0.61253,0.093644
-0.78488,-0.61253,0.093644
-0.94903,-0.085638,-0.30332
-0.94903,-0.085638,-0.30332
0.98176,-0.18279,0.052359
-0.14104,0.09403,-0.98553
-0.78834,-0.61523,0.0038867
-0.78834,-0.61523,0.0038869
0.63386,0.73481,0.2414
0.63386,0.73481,0.2414
-0.73096,-0.67347,-0.11014
-0.73096,-0.67347,-0.11014
-0.15746,-0.97861,0.1324
-0.15746,-0.97861,0.1324
0.29225,0.93578,0.19723
0.29225,0.93578,0.19723
0.76324,-0.64221,-0.070899
0.71483,-0.69749,-0.050284
0.71483,-0.69749,-0.050284
-0.1558,-0.96828,0.19536
-0.15579,-0.96828,0.19537
-0.30006,-0.94717,-0.11326
-0.30006,-0.94717,-0.11326
-0.88545,0.46401,-0.025818
-0.88545,0.46401,-0.025818
-0.83667,-0.45605,-0.30332
-0.83667,-0.45605,-0.30332
-0.8319,0.35259,0.42851
-0.8319,0.35259,0.42851
-0.83571,-0.54857,-0.025818
-0.83571,-0.54857,-0.025818
0.99945,-0.031753,0.0096088
0.99929,0.036348,0.0096073
0.70293,-0.68589,-0.18829
0.70293,-0.68589,-0.18829
0.56319,-0.7402,-0.36731
0.56319,-0.7402,-0.36731
-0.9985,-0.0081695,0.054194
-0.9985,-0.0081697,0.054194
-0.62253,0.77134,-0.13225
-0.62253,0.77134,-0.13225
-0.8427,0.53363,0.071323
-0.8427,0.53364,0.071323
0.753,0.62835,0.19534
0.753,0.62835,0.19533
-0.83743,0.5303,-0.13225
-0.83743,0.5303,-0.13225
0.38804,0.022809,-0.92136
0.28297,-0.0037071,-0.95912
-0.94924,0.31359,0.024619
-0.94924,0.31359,0.024618
0.061182,-0.99561,-0.070898
0.061181,-0.99561,-0.070898
-0.42014,0.90745,0.0038869
-0.42014,0.90745,0.0038872
-0.98955,-0.089295,-0.11325
-0.98955,-0.089294,-0.11325
-0.87803,-0.47859,0.0038868
-0.87803,-0.47859,0.0038869
-0.89979,-0.31366,-0.30332
-0.89979,-0.31366,-0.30332
-0.96558,-0.25027,-0.070887
-0.96558,-0.25027,-0.070887
-0.7882,-0.61512,0.019065
-0.7882,-0.61512,0.019065
